id,inventaris_id,polygon,lat,lng,,,,,
68,83,"{""type"":""Polygon"",""coordinates"":[[[112.17972037,-8.100243767,0],[112.179702116,-8.100544955,0],[112.17956217,-8.100544955,0],[112.179548766,-8.100707025,0],[112.179528705,-8.100949581,0],[112.179349209,-8.100943496,0],[112.179200137,-8.101424179,0],[112.179005429,-8.101357249,0],[112.179309659,-8.100222471,0],[112.17972037,-8.100243767,0]]]}",-8.100729181,112.1793553,,,111,,
69,84,"{""type"":""Polygon"",""coordinates"":[[[112.179548766,-8.100707025,0],[112.17956217,-8.100544955,0],[112.179702116,-8.100544955,0],[112.17972037,-8.100243767,0],[112.180284047,-8.100292079,0],[112.180270418,-8.100747694,0],[112.179548766,-8.100707025,0]]]}",-8.100510911,112.1799603,,,14,,
70,85,"{""type"":""Polygon"",""coordinates"":[[[112.180051541,-8.094259558,0],[112.179987606,-8.094571931,0],[112.179420493,-8.094470822,0],[112.179480938,-8.094144897,0],[112.180051541,-8.094259558,0]]]}",-8.094361176,112.1797334,,,3,,
71,88,"{""type"":""Polygon"",""coordinates"":[[[112.164213644,-8.110246101,0],[112.164398027,-8.110421789,0],[112.164398287,-8.110359313,0],[112.164562155,-8.110409964,0],[112.164519616,-8.110522248,0],[112.164990063,-8.110703268,0],[112.165095049,-8.110749512,0],[112.164820106,-8.111240079,0],[112.164484689,-8.111128868,0],[112.164105465,-8.110966218,0],[112.164148161,-8.11081645,0],[112.163588096,-8.11049882,0],[112.163775952,-8.110067443,0],[112.164159246,-8.110175072,0],[112.164213644,-8.110246101,0]]]}",-8.110661913,112.16433,,,60,,
72,89,"{""type"":""Polygon"",""coordinates"":[[[112.142502,-8.092565],[112.142619,-8.092259,0],[112.142638,-8.092202,0],[112.142793,-8.092252,0],[112.142886,-8.091956,0],[112.142987,-8.09199,0],[112.142973,-8.092027,0],[112.143634,-8.092252],[112.143403,-8.092929],[112.142751,-8.092658],[112.142502,-8.092565]]]}",-8.092443,112.143068,,,19,,
73,90,"{""type"":""Polygon"",""coordinates"":[[[112.142622,-8.092294],[112.142518,-8.092581],[112.142306,-8.092494],[112.142424,-8.09221],[112.142622,-8.092294]]]}",-8.092395,112.142464,,,10,,
74,91,"{""type"":""Polygon"",""coordinates"":[[[112.159958154,-8.107245452,0],[112.15980878,-8.10783821,0],[112.159564563,-8.107786048,0],[112.159673631,-8.107254937,0],[112.159526627,-8.107214629,0],[112.159552708,-8.107088963,0],[112.159685486,-8.1071269,0],[112.159673631,-8.107176692,0],[112.159958154,-8.107245452,0]]]}",-8.107472812,112.159741,,,42,,
75,92,"{""type"":""Polygon"",""coordinates"":[[[112.148369497,-8.100367845,0],[112.148773313,-8.100534559,0],[112.148658466,-8.100867985,0],[112.148388021,-8.100797595,0],[112.148239831,-8.101179183,0],[112.14797309,-8.101112498,0],[112.148154622,-8.100464169,0],[112.148299107,-8.100516035,0],[112.148369497,-8.100367845,0]]]}",-8.100742744,112.1483434,,,39,,
76,93,"{""type"":""Polygon"",""coordinates"":[[[112.140525351,-8.095210107,0],[112.140439949,-8.095466315,0],[112.139930583,-8.095249759,0],[112.140049537,-8.094920348,0],[112.140513151,-8.095170456,0],[112.140525351,-8.095210107,0]]]}",-8.095201866,112.1402314,,,27,,
77,94,"{""type"":""Polygon"",""coordinates"":[[[112.15401468,-8.09900676,0],[112.154023259,-8.099148304,0],[112.153866703,-8.099146159,0],[112.153868848,-8.099013194,0],[112.15401468,-8.09900676,0]]]}",-8.099079389,112.1539442,,,35,,
78,95,"{""type"":""Polygon"",""coordinates"":[[[112.158439929,-8.098011924,0],[112.158390518,-8.09837153,0],[112.158338361,-8.098363295,0],[112.158338361,-8.098383883,0],[112.158309538,-8.098385256,0],[112.158306793,-8.098574667,0],[112.158247773,-8.098571922,0],[112.158245028,-8.098382511,0],[112.158210715,-8.098381138,0],[112.158209342,-8.098353687,0],[112.158175028,-8.098350942,0],[112.158190127,-8.097998199,0],[112.158439929,-8.098011924,0]]]}",-8.098220172,112.1582962,,,28,,
79,96,"{""type"":""Polygon"",""coordinates"":[[[112.156443223,-8.097777906,0],[112.156367733,-8.09805413,0],[112.156122391,-8.098009522,0],[112.156082931,-8.097968346,0],[112.156110381,-8.097716141,0],[112.156443223,-8.097777906,0]]]}",-8.097883192,112.156252,,,5,,
80,97,"{""type"":""Polygon"",""coordinates"":[[[112.154316572,-8.118022299,0],[112.154519951,-8.118069398,0],[112.154592739,-8.117855315,0],[112.154881751,-8.117951652,0],[112.154883891,-8.118118637,0],[112.154845357,-8.118122918,0],[112.154806822,-8.11825565,0],[112.154686935,-8.118390522,0],[112.154280178,-8.118345565,0],[112.154316572,-8.118022299,0]]]}",-8.118150153,112.154592,,,33,,
81,98,"{""type"":""Polygon"",""coordinates"":[[[112.15759064,-8.099824761,0],[112.157570926,-8.099863737,0],[112.157697102,-8.099961997,0],[112.157672536,-8.100001078,0],[112.157702472,-8.100018938,0],[112.157613601,-8.100124277,0],[112.157209411,-8.100035152,0],[112.157254211,-8.099865046,0],[112.157279384,-8.099869801,0],[112.157315564,-8.099738057,0],[112.15759064,-8.099824761,0]]]}",-8.09994678,112.1574503,,,46,,
82,99,"{""type"":""Polygon"",""coordinates"":[[[112.182535791,-8.100859889,0],[112.182540315,-8.100798707,0],[112.182562451,-8.100801771,0],[112.182614814,-8.10057769,0],[112.182696682,-8.100227343,0],[112.182341366,-8.100183916,0],[112.182376898,-8.100053634,0],[112.182976986,-8.100142463,0],[112.182951324,-8.100316172,0],[112.183425079,-8.100391183,0],[112.183352042,-8.100693202,0],[112.182803277,-8.100598451,0],[112.182734187,-8.100896522,0],[112.182535791,-8.100859889,0]]]}",-8.10044647,112.182886,,,45,,
